02168 114 72 R CI
02169 115 73 S CI
02170 116 74 T CI
02171 117 75 U CI
02172 118 76 V CI
02173 119 77 W CI
02174 120 78 X CI
02175 121 79 Y CI
02176 122 7A Z CI
02177 158      EX
02178 159      EX
02179 160      EX
02180 161      EX
02181 162      EX
02182 163      EX
02184 101 65 E CG
02185 113 71 Q CG
02185 164      EX
02187 165      EX
02190 166      EX
02191 167      EX
02192 168      EX
02193 169      EX
02194 170      EX
02195 171      EX
02196 172      EX
02200  48 30 0 CG
02200  48 30 0 CS
02200  48 30 0 CR
02200  48 30 0 CC
02201  49 31 1 CR
02201  49 31 1 CS
02201  49 31 1 CG
02201  49 31 1 CC
02202  50 32 2 CC
02202  50 32 2 CR
02202  50 32 2 CG
02202  50 32 2 CS
02203  51 33 3 CG
02203  51 33 3 CC
02203  51 33 3 CR
02203  51 33 3 CS
02204  52 34 4 CS
02204  52 34 4 CR
02204  52 34 4 CG
02204  52 34 4 CC
02205  53 35 5 CR
02205  53 35 5 CS
02205  53 35 5 CG
02205  53 35 5 CC
02206  54 36 6 CG
02206  54 36 6 CR
02206  54 36 6 CS
02206  54 36 6 CC
02207  55 37 7 CR
02207  55 37 7 CS
02207  55 37 7 CC
02207  55 37 7 CG
02208  56 38 8 CC
02208  56 38 8 CG
02208  56 38 8 CS
02208  56 38 8 CR
02209  57 39 9 CR
02209  57 39 9 CS
02209  57 39 9 CG
02209  57 39 9 CC
02210  46 2E . CG
02210  46 2E . CS
02210  46 2E . CR
02210  46 2E . CC
02211  44 2C , CG
02211  44 2C , CC
02211  44 2C , CS
02211  44 2C , CR
02212  58 3A : CS
02212  58 3A : CG
02212  58 3A : CC
02212  58 3A : CR
02213  59 3B ; CR
02213  59 3B ; CC
02213  59 3B ; CG
02213  59 3B ; CS
02214  33 21 ! CS
02214  33 21 ! CG
02214  33 21 ! CC
02214  33 21 ! CR
02215  63 3F ? CG
02215  63 3F ? CR
02215  63 3F ? CS
02215  63 3F ? CC
02216  39 27 ' CC
02216  39 27 ' CR
02216  39 27 ' CS
02216  39 27 ' CG
02217  34 22 " CR
02217  34 22 " CS
02217  34 22 " CG
02217  34 22 " CC
02218 173      EX
02219  42 2A * CC
02219  42 2A * CS
02219  42 2A * CG
02219  42 2A * CR
02220  47 2F / CG
02220  47 2F / CR
02220  47 2F / CS
02220  47 2F / CC
02220 178      CR
02220 178      CI
02220 178      SG
02220 178      GI
02220 178      CS
02220 178      TI
02220 178      DR
02220 178      GG
02220 178      CG
02220 178      SS
02220 178      GE
02220 178      TR
02220 178      CC
02220 178      SR
02221  40 28 ( CC
02221  40 28 ( CS
02221  40 28 ( CG
02221  40 28 ( CR
02222  41 29 ) CC
02222  41 29 ) CG
02222  41 29 ) CR
02222  41 29 ) CS
02223  91 5B [ CC
02223  91 5B [ DR
02223  91      GG
02223  91 5B [ CG
02223  91 5B [ CS
02223  91 5B [ TI
02223  91 5B [ TR
02223  91      GI
02223  91 5B [ CR
02223  91      GE
02223 206      CR
02223 206      CG
02223 206      TI
02223 206      CI
02223 206      SS
02223 206      GI
02223 206      SG
02223 206      SR
02223 206      TR
02223 206      GG
02223 206      DR
02223 206      CC
02223 206      GE
02223 206      CS
02224  93      GG
02224  93      GI
02224  93 5D ] TI
02224  93 5D ] CR
02224  93 5D ] CS
02224  93 5D ] TR
02224  93 5D ] DR
02224  93 5D ] CG
02224  93      GE
02224  93 5D ] CC
02224 222      TR
02224 222      CR
02224 222      GE
02224 222      CC
02224 222      CS
02224 222      GG
02224 222      SR
02224 222      TI
02224 222      GI
02224 222      SG
02224 222      SS
02224 222      DR
02224 222      CI
02224 222      CG
02225 123 7B { SG
02225 123 7B { CS
02225 123 7B { CR
02225 123 7B { CC
02225 123 7B { CI
02225 123 7B { CG
02225 123 7B { SS
02225 123 7B { TR
02225 123 7B { DR
02225 123 7B { SR
02225 123 7B { TI
02225 207      DR
02225 207      CC
02225 207      TR
02225 207      CR
02225 207      TI
02225 207      CS
02225 207      SG
02225 207      GE
02225 207      CG
02225 207      GI
02225 207      GG
02225 207      SS
02225 207      SR
02225 207      CI
